Name,Product,Country,Open Datasets Used (Full Clickable Links),Description,Website
Zindi Africa,Zindi Platform,Pan-Africa,https://www.kaggle.com/datasets  https://open.africa/ https://data.worldbank.org/,Africa’s largest data science competition platform using open datasets for real-world AI challenges.,https://zindi.africa
SunCulture,SunCulture Irrigation,Kenya,http://www.fao.org/aquastat/en/ https://landsat.gsfc.nasa.gov/ https://openweathermap.org/api,AI precision irrigation reducing water use by 90% using open climate & satellite data.,https://sunculture.io
Agrix Tech,Agrix App,Cameroon,https://www.nass.usda.gov/Data_and_Statistics/ https://www.openstreetmap.org/ https://www.plantvillage.psu.edu/,AI crop disease detection boosting yields by 30% using open agricultural imagery.,https://agrixtech.com
Botlhale AI,Botlhale NLP Toolkit,South Africa,https://github.com/masakhane-io/masakhane https://commoncrawl.org/ https://github.com/africanlp/africanlp,African language NLP improving translation accuracy by 40% via open text/speech corpora.,https://botlhale.ai
KudiAI,Kudi Chatbot,Nigeria,https://databank.worldbank.org/source/financial-inclusion https://dataportal.opendataforafrica.org/,Conversational AI banking serving 1M+ users with open financial data for fraud detection.,https://kudi.ai
Instadeep,Deep Learning Models,Tunisia,https://www.image-net.org/ https://cocodataset.org/ https://storage.googleapis.com/openimages/web/index.html,Deep learning models powering BioNTech's mRNA tech trained on open vision datasets.,https://instadeep.com
Amini,Amini Climate Intelligence,Kenya,https://earthdata.nasa.gov/ https://scihub.copernicus.eu/ https://harvest-ready.org/,AI climate forecasting improving yields by 25% using open satellite data.,https://amini.ai
Tumaini App,Tumaini Disease Detector,Kenya,https://www.plantvillage.psu.edu/ https://data.mendeley.com/datasets/bwh3zbpkpv/1,"Mobile app detecting banana diseases with 90% accuracy, preventing 20–40% yield loss.",https://tumaini.ai
Periculum,Periculum Credit Risk,Nigeria,https://dataportal.opendataforafrica.org/ https://databank.worldbank.org/source/financial-inclusion,AI credit scoring reducing defaults by 35% using open economic data.,https://periculum.io
Crop2Cash,C2C Platform,Nigeria,http://www.fao.org/faostat/en/#data https://harvest-ready.org/,AI financial services for 80K+ farmers using open crop yield data.,https://crop2cash.com.ng
Releaf,Releaf Supply Chain,Nigeria,https://www.nass.usda.gov/Data_and_Statistics/ http://www.fao.org/faostat/en/#data,AI supply chain optimization cutting waste by 40% for palm oil.,https://releaf.africa
Apollo Agriculture,Apollo Credit & Inputs,Kenya,https://databank.worldbank.org/source/agriculture https://earthdata.nasa.gov/ http://www.fao.org/aquastat/en/,"AI credit for 100K+ farmers, boosting yields 2× using open agri data.",https://apolloagriculture.com
ThriveAgric,Thrive Platform,Nigeria,https://harvest-ready.org/ http://www.fao.org/faostat/en/#data,AI advisory increasing farmer incomes 50% via open satellite/yield datasets.,https://thriveagric.com
Carry1st,Carry1st Gaming,South Africa,https://www.openstreetmap.org/ https://databank.worldbank.org/source/population,AI gaming personalization for 10M+ users using open demographic data.,https://carry1st.com
Gebeya,Gebeya Talent Platform,Ethiopia,https://au.int/en/documents https://databank.worldbank.org/source/jobs,AI talent matching reducing hiring time 50% via open labor datasets.,https://gebeya.com
